col,text,label
"@realDonaldTrump along with being the most corrupt #IMPOTUS ever, is also the most laziest! #CoronavirusOutbreak https://t.co/wE0JSwIk8v","@realDonaldTrump along with being the most corrupt #IMPOTUS ever, is also the most laziest! #CoronavirusOutbreak https://t.co/wE0JSwIk8v",offensive
@BradParker_ @maddow @realDonaldTrump @KremlinRussia_E Russian #CoronavirusOutbreak be like #Chernobyl. We won't know about it until the whole country is entombed.,@BradParker_ @maddow @realDonaldTrump @KremlinRussia_E Russian #CoronavirusOutbreak be like #Chernobyl. We won't know about it until the whole country is entombed.,worried
"@ddale8 maybe it is true? Most politicians are liars in my view, irrespective of democrats and republicans #coronavirus #CoronavirusOutbreak #AmericaFirst #idiots #rascals #StarWars #Biden2020 @xyra_dtrs @ColrycaRescue @RocPDNYOps @FBIRichmond @FBISanAnto","@ddale8 maybe it is true? Most politicians are liars in my view, irrespective of democrats and republicans #coronavirus #CoronavirusOutbreak #AmericaFirst #idiots #rascals #StarWars #Biden2020 @xyra_dtrs @ColrycaRescue @RocPDNYOps @FBIRichmond @FBISanAnto",offensive
@realDonaldTrump TF is going on #COVID19 #CoronavirusOutbreak https://t.co/0MNv3uca0E,@realDonaldTrump TF is going on #COVID19 #CoronavirusOutbreak https://t.co/0MNv3uca0E,offensive
"https://t.co/MGs76T119U

#books #BookReview #KindleUnlimited #ebook #coronavirus #COVID2019 #COVID19 #coronavirusitalia #CoronavirusUSA #coronavirusEspana #CoronavirusOutbreak #BookBoost #booklovers #biology #9Mar #fitness #CoronavirusFrance #BREAKING #BreakingNews #SARSCoV2 #fit","https://t.co/MGs76T119U

#books #BookReview #KindleUnlimited #ebook #coronavirus #COVID2019 #COVID19 #coronavirusitalia #CoronavirusUSA #coronavirusEspana #CoronavirusOutbreak #BookBoost #booklovers #biology #9Mar #fitness #CoronavirusFrance #BREAKING #BreakingNews #SARSCoV2 #fit",informative
"� ��� � � � # Coronavirus
""# Covid_19 is a real danger! ""Two scientists take stock of the SARS-CoV-2 coronavirus
""We are very concerned.""

https://t.co/E9TqVfreJM","🔴⭕💥#Coronavirus 
« Le #Covid_19  est un réel danger ! », Deux scientifiques font le point sur le coronavirus SARS-CoV-2
« Nous sommes très préoccupés ». 

https://t.co/E9TqVfreJM",informative
Did someone happen to see that graph pass by with the expected prognosis specifically aimed at the Netherlands with regard to #coronavirus and the number of infections? Or is it removed from #Twitter # COVID_19 #Coronavirusnl #coronavirusnetherlands,Iemand toevallig die grafiek voorbij zien komen met de verwachtte prognose specifiek gericht op Nederland m.b.t. het #coronavirus en het aantal besmettingen? Of is deze verwijderd van #Twitter #COVID_19 #Coronavirusnl #coronavirusnetherlands,worried
BREAKING:  #CoronavirusOutbreak has hit America and suddenly everyone is buying toilet paper.  Do people realize diarrhea isn’t a symptom or are people just that stupid that TP is a must have during the end of the world.  😎 #coronavirus,BREAKING:  #CoronavirusOutbreak has hit America and suddenly everyone is buying toilet paper.  Do people realize diarrhea isn’t a symptom or are people just that stupid that TP is a must have during the end of the world.  😎 #coronavirus,offensive
"You're slacking during an emergency, @realdonaldtrump, and we've all noticed. 
#VoteBlueNoMatterWho #CoronavirusOutbreak https://t.co/pEwPccCBYP","You're slacking during an emergency, @realdonaldtrump, and we've all noticed. 
#VoteBlueNoMatterWho #CoronavirusOutbreak https://t.co/pEwPccCBYP",offensive
"According to @WHO, the following countries/territories have reported their first cases of #COVID19 in the past 24 hours: 

🇧🇬 Bulgaria
🇫🇴 Faroe Islands
🇬🇫 French Guiana
🇲🇻 Maldives
🇲🇹 Malta
🇲🇶 Martinique
🇲🇩 Republic of Moldova
🇦🇱 Albania

#coronavirus #CoronavirusOutbreak https://t.co/umQS4LXfs6","According to @WHO, the following countries/territories have reported their first cases of #COVID19 in the past 24 hours: 

🇧🇬 Bulgaria
🇫🇴 Faroe Islands
🇬🇫 French Guiana
🇲🇻 Maldives
🇲🇹 Malta
🇲🇶 Martinique
🇲🇩 Republic of Moldova
🇦🇱 Albania

#coronavirus #CoronavirusOutbreak https://t.co/umQS4LXfs6",informative
@seanhannity @realDonaldTrump TF is going on #COVID19 #CoronavirusOutbreak https://t.co/lxzVO9Ik3i,@seanhannity @realDonaldTrump TF is going on #COVID19 #CoronavirusOutbreak https://t.co/lxzVO9Ik3i,offensive
I'm glad to see more and more companies offering sick time during this #CoronavirusOutbreak  because ppl shouldn't worry about bills if they need to be sent home or can't go to work,I'm glad to see more and more companies offering sick time during this #CoronavirusOutbreak  because ppl shouldn't worry about bills if they need to be sent home or can't go to work,concerned
"10 grams of weed / week and I sign!
# Covid_19 https://t.co/TSny3Ti2XX","10 grammes de weed/ semaine et je signe !
#Covid_19 https://t.co/TSny3Ti2XX",worried
Here is an accurate translation by an interpreter thanks to one of our followers. #covid #coronavirus #italia #CoronavirusOutbreak https://t.co/mVeI9LG2LR,Here is an accurate translation by an interpreter thanks to one of our followers. #covid #coronavirus #italia #CoronavirusOutbreak https://t.co/mVeI9LG2LR,irrelevant
Coronavirus live updates: stock markets plunge on global recession fears https://t.co/f68V0lau7g #coronavirus #CoronavirusOutbreak #stocks #StockMarket,Coronavirus live updates: stock markets plunge on global recession fears https://t.co/f68V0lau7g #coronavirus #CoronavirusOutbreak #stocks #StockMarket,informative
Kazakhstan now civilised country. We now wash our hands more than once a year on ritual day or Shurik. #CoronavirusOutbreak,Kazakhstan now civilised country. We now wash our hands more than once a year on ritual day or Shurik. #CoronavirusOutbreak,concerned
"These are some things you need to do now and after the #CoronavirusOutbreak

https://t.co/tpgPMtAjoV

#coronavirus 
#oilprice 
#stocks
#recession https://t.co/r4DeMTfKEJ","These are some things you need to do now and after the #CoronavirusOutbreak

https://t.co/tpgPMtAjoV

#coronavirus 
#oilprice 
#stocks
#recession https://t.co/r4DeMTfKEJ",informative
26) #COVID_19 #China #Chen_Wei https://t.co/GMTJzlrbGh,26) #COVID_19 #China #Chen_Wei https://t.co/GMTJzlrbGh,irrelevant
"This FOX Entertainment thing disguised as news is flirting with WRECKLESS CRIMINAL BEHAVIOR - there are people who believe what is said on that network.  By not telling the truth they are putting lives at risk at best, perhaps causing those deaths. #CoronavirusOutbreak https://t.co/ED25InhZI2","This FOX Entertainment thing disguised as news is flirting with WRECKLESS CRIMINAL BEHAVIOR - there are people who believe what is said on that network.  By not telling the truth they are putting lives at risk at best, perhaps causing those deaths. #CoronavirusOutbreak https://t.co/ED25InhZI2",offensive
update the call dropped 😩😩😩 #chasetravel #CoronavirusOutbreak,update the call dropped 😩😩😩 #chasetravel #CoronavirusOutbreak,irrelevant
"#CoronavirusOutbreak clearly no longer #China story as it now ranks no higher than 4th in reported total #COVID19 cases per capita (Iran, Italy, Korea... and 🤣 Vatican City have more). 
 
#pandemic
#COVIDー19 #CoronaVirusUpdates","#CoronavirusOutbreak clearly no longer #China story as it now ranks no higher than 4th in reported total #COVID19 cases per capita (Iran, Italy, Korea... and 🤣 Vatican City have more). 
 
#pandemic
#COVIDー19 #CoronaVirusUpdates",informative
"@TrueFactsStated Especially Trump. 
Try a cell. Prison

#TrumpVirus 
#TrumpVirusCoverup
#CoronavirusOutbreak https://t.co/o6xP3oOB80","@TrueFactsStated Especially Trump. 
Try a cell. Prison

#TrumpVirus 
#TrumpVirusCoverup
#CoronavirusOutbreak https://t.co/o6xP3oOB80",offensive
"#oilprice
 #CoronavirusOutbreak 
#coronavirus https://t.co/xLAx5fJYIG","#oilprice
 #CoronavirusOutbreak 
#coronavirus https://t.co/xLAx5fJYIG",irrelevant
"@ Windwens9 Hello, there is your unroll: Thread by @ BertoJongman100: # COVID_19 Chris explains what exponential growth means and what the impact will be on it� https://t.co/KSr7Jf1pwI. See you soon. 🤖","@Windwens9 Hello, there is your unroll: Thread by @BertoJongman100: #COVID_19 Chris legt uit wat exponentiele groei betekent en wat de impact zal zijn op het… https://t.co/KSr7Jf1pwI. See you soon. 🤖",irrelevant
"Τι γίνε� �� � � � � λ ήθει� ήθει� � � �� ον κο� ονοιο σ� �� � ν ν�� � �� � ;;; # κο� κο� � � �, #coronavirus, # COVID2019, # COVID19, #CoronavirusOutbreak #Greece_Turkey_Borders, #TurkishPropaganda,, # TurkeyIsATerrorState, #IStandWithGreece
 https://t.co/MJJNqfnboE","Τι γίνεται αλήθεια με τον κορονοιο στην Τουρκία;;; #κοροναιος, #coronavirus, #COVID2019,#COVID19, #CoronavirusOutbreak #Greece_Turkey_Borders, #TurkishPropaganda , ,#TurkeyIsATerrorState, #IStandWithGreece
 https://t.co/MJJNqfnboE",irrelevant
#coronavirusuk #Coronavirusireland # Coronavid19 #CoronavirusOutbreak #panicbuyers #panickbuying #panicbuyinguk #panicbuy #panicbuyer #toiletpaper #toiletroll https://t.co/rasdbZSfOG https://t.co/HUePOrsUpp,#coronavirusuk #Coronavirusireland #Coronavid19 #CoronavirusOutbreak #panicbuyers #panickbuying #panicbuyinguk #panicbuy #panicbuyer #toiletpaper #toiletroll https://t.co/rasdbZSfOG https://t.co/HUePOrsUpp,irrelevant
I refused a handshake with an older guy today and he gets all offended and starts muttering something about a hoax......... #CoronavirusOutbreak,I refused a handshake with an older guy today and he gets all offended and starts muttering something about a hoax......... #CoronavirusOutbreak,funny
#coronavirusuk #Coronavirusireland # Coronavid19 #CoronavirusOutbreak #panicbuyers #panickbuying #panicbuyinguk #panicbuy #panicbuyer #toiletpaper #toiletroll https://t.co/rasdbZSfOG https://t.co/j5XEyUsBJI,#coronavirusuk #Coronavirusireland #Coronavid19 #CoronavirusOutbreak #panicbuyers #panickbuying #panicbuyinguk #panicbuy #panicbuyer #toiletpaper #toiletroll https://t.co/rasdbZSfOG https://t.co/j5XEyUsBJI,irrelevant
"Australian family accidentally buy 2,300 toilet rolls that'll last for 12 years prior to coronavirus panic buying. #Australia #ToiletPaperPanic #ToiletPaper #Coronavirus #COVID #COVID19 #COVID2019 #Covid_19 #CoronaVirusOutbreak #COVIDー19 https://t.co/0yr5xR8Bx5","Australian family accidentally buy 2,300 toilet rolls that'll last for 12 years prior to coronavirus panic buying. #Australia #ToiletPaperPanic #ToiletPaper #Coronavirus #COVID #COVID19 #COVID2019 #Covid_19 #CoronaVirusOutbreak #COVIDー19 https://t.co/0yr5xR8Bx5",funny
"BREAKING: Albania reports first 2 cases of #CoronaVirus  (BNO News)

#Covid19 #CoronaVirusOutbreak","BREAKING: Albania reports first 2 cases of #CoronaVirus  (BNO News)

#Covid19 #CoronaVirusOutbreak",informative
"If your going to die , due to the virus , please have the decency to make a farewell video - goverments are hiding the numbers and only the dead speak the truth - it’s better than dispearing into a pit of a moralistic police state : #COVID19 #CoronavirusOutbreak #2019nCoV","If your going to die , due to the virus , please have the decency to make a farewell video - goverments are hiding the numbers and only the dead speak the truth - it’s better than dispearing into a pit of a moralistic police state : #COVID19 #CoronavirusOutbreak #2019nCoV",emotional
Probably should have made this recommendation weeks ago. Just our opinion. That we are sharing. #COVID19 #coronavirus #CoronavirusOutbreak https://t.co/xLmPNLdbgs,Probably should have made this recommendation weeks ago. Just our opinion. That we are sharing. #COVID19 #coronavirus #CoronavirusOutbreak https://t.co/xLmPNLdbgs,concerned
@seanhannity #nepotismwhitehouse #CoronavirusOutbreak,@seanhannity #nepotismwhitehouse #CoronavirusOutbreak,irrelevant
Two students diagnosed with #coronavirus at Sydney school #gt;#gt;#gt; https://t.co/BdZwdFp41G #coronavirusaustralia #CoronavirusOutbreak https://t.co/3xdf7Sy4zU,Two students diagnosed with #coronavirus at Sydney school #gt;#gt;#gt; https://t.co/BdZwdFp41G #coronavirusaustralia #CoronavirusOutbreak https://t.co/3xdf7Sy4zU,informative
"I'd cop one of my new shirts if I was you ↓
https://t.co/YwKDufqTC6
#CoronavirusOutbreak #coronavirus #coronavirusmemes #Coronavirusinusa https://t.co/OPhTz5PFvh","I'd cop one of my new shirts if I was you ↓
https://t.co/YwKDufqTC6
#CoronavirusOutbreak #coronavirus #coronavirusmemes #Coronavirusinusa https://t.co/OPhTz5PFvh",informative
"Me anytime I sneeze or cough: Well I’m dying. It’s been a good 37 years. 
#CoronaVirus #CoronavirusOutbreak","Me anytime I sneeze or cough: Well I’m dying. It’s been a good 37 years. 
#CoronaVirus #CoronavirusOutbreak",funny
Any chance @tedcruz will stay quarantined permanently? 🤞🤞🤞🤞🤞🤞 #CoronavirusOutbreak,Any chance @tedcruz will stay quarantined permanently? 🤞🤞🤞🤞🤞🤞 #CoronavirusOutbreak,offensive
Thank you for being cautious and setting an important example.  Stay well. @SenTedCruz #CoronavirusOutbreak,Thank you for being cautious and setting an important example.  Stay well. @SenTedCruz #CoronavirusOutbreak,emotional
"Global #COVID19 cases:
109,831 confirmed (+4)
60,693 recovered 
3,803 deaths 

Cases excluding #China:
29,132 confirmed (+4)
3,373 recovered 
706 deaths 

#Coronavirus #CoronavirusUpdate #CoronavirusOutbreak","Global #COVID19 cases:
109,831 confirmed (+4)
60,693 recovered 
3,803 deaths 

Cases excluding #China:
29,132 confirmed (+4)
3,373 recovered 
706 deaths 

#Coronavirus #CoronavirusUpdate #CoronavirusOutbreak",informative
#COVID19 #coronavirus #CoronavirusOutbreak #OpSanaAnimam #TheMoreYouKnow #Anonymous https://t.co/z2DzvkVGFM,#COVID19 #coronavirus #CoronavirusOutbreak #OpSanaAnimam #TheMoreYouKnow #Anonymous https://t.co/z2DzvkVGFM,irrelevant
#coronavirus #COVID19 #CoronavirusOutbreak https://t.co/OpGTUluXVb,#coronavirus #COVID19 #CoronavirusOutbreak https://t.co/OpGTUluXVb,irrelevant
@GOPLeader Taxpayers are paying for golf...  The White House appears to have informed Democrats that they want to fund the emergency response in part by taking money from a program that funds low-income home heating assistance.  https://t.co/xyAnkBKaAW #C,@GOPLeader Taxpayers are paying for golf...  The White House appears to have informed Democrats that they want to fund the emergency response in part by taking money from a program that funds low-income home heating assistance.  https://t.co/xyAnkBKaAW #C,informative
For anyone with small children. #COVID19 #coronavirus #CoronavirusOutbreak #WashYourHands https://t.co/rIipscdF2t,For anyone with small children. #COVID19 #coronavirus #CoronavirusOutbreak #WashYourHands https://t.co/rIipscdF2t,concerned
@FTMDaily @StatistaCharts Interesting...has anyone bothered to see if there’s a correlation between the SCOTUS ruling that @realDonaldTrump admin can withhold monies from #SanctuaryState and the #MSM proliferation of the #CoronavirusOutbreak in many of,@FTMDaily @StatistaCharts Interesting...has anyone bothered to see if there’s a correlation between the SCOTUS ruling that @realDonaldTrump admin can withhold monies from #SanctuaryState and the #MSM proliferation of the #CoronavirusOutbreak in many of ,offensive
"@Maggie_DeBlock: ""Don't take disproportionate measures"" let the virus take its course and prevent it from spreading? #coronavirus #Coronavirius # COVID2019 #CoronaVirusUpdates # COVID19
#CoronavirusOutbreak # Belgium #Belgium #Belgique #belgie
#vlaa","@Maggie_DeBlock : ""Geen disproportionele maatregelen nemen"" het virus zijn gang laten gaan en geen verspreiding voorkomen ? #coronavirus #Coronavirius #COVID2019 #CoronaVirusUpdates #COVID19 
#CoronavirusOutbreak #België #Belgium #Belgique #belgie 
#vlaa",concerned
Keeping up with #COVID19 https://t.co/9PQ8YBp0Az #coronavirus #CoronavirusOutbreak,Keeping up with #COVID19 https://t.co/9PQ8YBp0Az #coronavirus #CoronavirusOutbreak,informative
5G towers rolled out in Wuhan weeks before coronavirus outbreak. Coincidence? I think not. #coronavirus #CoronavirusOutbreak,5G towers rolled out in Wuhan weeks before coronavirus outbreak. Coincidence? I think not. #coronavirus #CoronavirusOutbreak,offensive
#CoronavirusOutbreak https://t.co/J0JfsfIWKO,#CoronavirusOutbreak https://t.co/J0JfsfIWKO,informative
"Iran Lawmaker: Regime Lying About Uncontrolled China Virus Spread, 50 Dead #COVID2019 #CoronavirusOutbreak 
https://t.co/kOZ75gg8yL","Iran Lawmaker: Regime Lying About Uncontrolled China Virus Spread, 50 Dead #COVID2019 #CoronavirusOutbreak 
https://t.co/kOZ75gg8yL",informative
"#Coronavirus #COVIDー19 Global Cases by Johns Hopkins CSSE

https://t.co/Vbodq85P4G

Confirmed Worldwide
109,835

Total Confirmed in United States
537
#CoronaVirusUpdate #CoronavirusOutbreak https://t.co/i9VCz2CzKh","#Coronavirus #COVIDー19 Global Cases by Johns Hopkins CSSE

https://t.co/Vbodq85P4G

Confirmed Worldwide
109,835

Total Confirmed in United States
537
#CoronaVirusUpdate #CoronavirusOutbreak https://t.co/i9VCz2CzKh",informative
"奧圖爾提九招防疫 
Erin O’Toole Calls on Government to Do More to Protect #Canadians from #Coronavirus
 
#Canada 
#Conservatives 
#CoronavirusOutbreak 

https://t.co/sCDSMc7yZy","奧圖爾提九招防疫 
Erin O’Toole Calls on Government to Do More to Protect #Canadians from #Coronavirus
 
#Canada 
#Conservatives 
#CoronavirusOutbreak 

https://t.co/sCDSMc7yZy",informative
"Italy COVID19 =
-#gt; Quarantine Lockdowns 
-#gt; Recession #amp; Unemployment 
- #gt; Social Breakdown
#BreakingNews #CoronavirusOutbreak
#COVID19 #Covid_19 #SARS-COV-2. #SARSCOV2
#coronavirus @chrismatenson https://t.co/2l68cKDn9m","Italy COVID19 =
-#gt; Quarantine Lockdowns 
-#gt; Recession #amp; Unemployment 
- #gt; Social Breakdown
#BreakingNews #CoronavirusOutbreak
#COVID19 #Covid_19 #SARS-COV-2. #SARSCOV2
#coronavirus @chrismatenson https://t.co/2l68cKDn9m",informative
During this #Election2020 shaking hands and kissing babies probably not the best strategy to go with and sniffing hair as well for that matter. #coronavirus #COVID19 #Elections #Primaries2020 #CoronavirusOutbreak,During this #Election2020 shaking hands and kissing babies probably not the best strategy to go with and sniffing hair as well for that matter. #coronavirus #COVID19 #Elections #Primaries2020 #CoronavirusOutbreak,concerned
"If the #StockMarket opens at the current futures level (S#amp;P 500: 2830),

..the #CoronavirusOutbreak will have wiped out out all of his gains for 2018-2020.

Another 20% from here, and it will be ZERO gains since he took office.","If the #StockMarket opens at the current futures level (S#amp;P 500: 2830),

..the #CoronavirusOutbreak will have wiped out out all of his gains for 2018-2020.

Another 20% from here, and it will be ZERO gains since he took office.",worried
